ACK,ACKBody
ACK,ACKDate
ACK,ACKType
ACK,GCS_CreatedAt
ACK,GCS_UpdatedAt
ACK,Id
ACK,ReadyToSend
ACK,Sent
ACK,UUID
ACK,WebmailID
AMTDescription,AMTCode
AMTDescription,AMTName
AMTDescription,AMTType
AMTDescription,Id
AMTDescription,Unk1
AccountHolder,AcceptBPAY_Fg
AccountHolder,Address
AccountHolder,AddressLine1
AccountHolder,AddressLine2
AccountHolder,Balance
AccountHolder,BankAccountBSB
AccountHolder,BankAccountName
AccountHolder,BankAccountNum
AccountHolder,BankName
AccountHolder,BlackList
AccountHolder,BlackListReason
AccountHolder,BPAY_CRN
AccountHolder,CreatedAt
AccountHolder,DOB
AccountHolder,Fax
AccountHolder,FirstName
AccountHolder,FullName
AccountHolder,GapPayment
AccountHolder,GCS_CreatedAt
AccountHolder,GCS_UpdatedAt
AccountHolder,HomePhone
AccountHolder,Id
AccountHolder,Individual
AccountHolder,LastPaymentDate
AccountHolder,LastUpdatedDateTime
AccountHolder,MedicareExpiry
AccountHolder,MedicareNum
AccountHolder,MedicareRefNum
AccountHolder,Mobile
AccountHolder,Name
AccountHolder,Organisation
AccountHolder,PCPaymentMethod
AccountHolder,Postcode
AccountHolder,Schedule
AccountHolder,State
AccountHolder,Suburb
AccountHolder,Surname
AccountHolder,Title
AccountHolder,UUID
AccountHolder,WCO_Id_Fk
AccountMessage,GCS_CreatedAt
AccountMessage,GCS_UpdatedAt
AccountMessage,Id
AccountMessage,Memo
AccountMessage,MemoTitle
AccountMessage,MessageType
AccountMessage,Overdue
AccountMessage,TheMessage
AccountMessage,UUID
AccountNote,AH_Id_Fk
AccountNote,GCS_CreatedAt
AccountNote,GCS_UpdatedAt
AccountNote,Id
AccountNote,Note
AccountNote,UUID
AccountUpdate,AH_Id_Fk
AccountUpdate,Amount
AccountUpdate,GCS_CreatedAt
AccountUpdate,GCS_UpdatedAt
AccountUpdate,Id
AccountUpdate,Processed
AccountUpdate,UUID
ActiveComposition,ActiveCompositionSort
ActiveComposition,AdditionalInformation
ActiveComposition,asAdditionalInfo
ActiveComposition,asGenericCode
ActiveComposition,asNominalStrength
ActiveComposition,asStrengthUnitCode
ActiveComposition,FormCode
ActiveComposition,GenericCode
ActiveComposition,Id
ActiveComposition,ItemCode
ActiveComposition,MaximumStrength
ActiveComposition,NominalStrength
ActiveComposition,PackCode
ActiveComposition,PerVolume
ActiveComposition,PerVolumeUnitCode
ActiveComposition,ProdCode
ActiveComposition,StrengthQualifier
ActiveComposition,StrengthUnitCode
AddressBook,Address1
AddressBook,Address2
AddressBook,Address3
AddressBook,Address4
AddressBook,AllTalk
AddressBook,Argus
AddressBook,Assists
AddressBook,Category
AddressBook,CDACapable
AddressBook,Clinic
AddressBook,Country
AddressBook,DivisionReport
AddressBook,DontSMS
AddressBook,ELSEndpoint
AddressBook,EmailAddress
AddressBook,ExternalId
AddressBook,Fax
AddressBook,Fg
AddressBook,FirstName
AddressBook,Formality
AddressBook,FullAddress
AddressBook,FullName
AddressBook,GCS_CreatedAt
AddressBook,GCS_UpdatedAt
AddressBook,GenieUser
AddressBook,Healthlink
AddressBook,HomePhone
AddressBook,HPII
AddressBook,HPIO
AddressBook,Id
AddressBook,Inactive
AddressBook,IncludeFax
AddressBook,Initial
AddressBook,LastUpdated
AddressBook,LastUpdatedBy
AddressBook,Marked
AddressBook,MedicalObject
AddressBook,Mobile
AddressBook,Note
AddressBook,Pager
AddressBook,PDFCapable
AddressBook,Postcode
AddressBook,PreadmissionsID
AddressBook,PreferredComm
AddressBook,ProviderNum
AddressBook,ReferralNet
AddressBook,Salutation
AddressBook,Specialty
AddressBook,State
AddressBook,Suburb
AddressBook,Surname
AddressBook,Title
AddressBook,UUID
AddressBook,WebURL
AddressBook,WorkPhone
Admission,Activity1
Admission,Activity2
Admission,Activity3
Admission,AdmissionDate
Admission,AdmissionStatus
Admission,AdmissionTime
Admission,AmbulanceClientNum
Admission,AMO1
Admission,AMO1RegCode
Admission,AMO2
Admission,AMO2RegCode
Admission,Cause1
Admission,Cause2
Admission,Cause3
Admission,ChargeStatus
Admission,ContractStatus
Admission,CoronersCase
Admission,DischargeIntention
Admission,FacilityCode
Admission,FacilityName
Admission,FirstName
Admission,FromFacilityCode
Admission,FundingSource
Admission,GCS_CreatedAt
Admission,GCS_UpdatedAt
Admission,Id
Admission,InsuranceStatus
Admission,LegalStatus
Admission,MedicareEligible
Admission,ModeOfSeparation
Admission,PalliativeCareStatus
Admission,PaymentStatus
Admission,Place1
Admission,Place2
Admission,Place3
Admission,PrincipalCode
Admission,PrincipalDiagnosis
Admission,PrivateFundCode
Admission,PrivatePatient
Admission,PT_Id_Fk
